
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
 165 | 0 1 2 28 7 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 166 | 0 1 2 30 15 26   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 167 | 0 1 2 30 20 23   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 168 | 1 0 0 19 11 3    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 169 | 1 0 0 23 9 29    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 170 | 1 0 1 9 23 4     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 171 | 1 0 1 15 7 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 172 | 1 0 1 17 11 4    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 173 | 1 0 1 23 6 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 174 | 1 0 2 1 1 23     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 175 | 1 0 2 2 9 9      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 176 | 1 0 2 5 1 3      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 177 | 1 0 2 10 28 5    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 178 | 1 0 2 12 11 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 179 | 1 0 2 17 18 26   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 180 | 1 0 2 18 9 2     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 181 | 1 0 2 19 26 12   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 182 | 1 0 2 21 5 31    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 183 | 1 0 2 23 5 31    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 184 | 1 0 2 24 23 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 185 | 1 0 2 26 19 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 186 | 1 0 2 27 28 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 187 | 1 0 2 28 10 27   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 188 | 1 0 2 28 27 15   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 189 | 1 0 2 29 2 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 190 | 1 0 2 29 20 10   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 191 | 1 0 2 30 21 17   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
 192 | 1 0 2 31 9 22    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 2U    |     465 | 1.0        |     9
